sentence,date
"During 2003-05, for example, China alone accounted for nearly one-third of the growth in both global real gross domestic product (GDP) and oil consumption.",2007-03-02
"It is difficult to assess the exact extent to which increased demand by developing countries has contributed to the run-ups in commodity prices in recent years, as these prices are also affected by supply conditions and other factors.",2007-03-02
"However, one study estimated that, if the share of world trade and world GDP enjoyed by non-industrial countries had remained at its 2000 levels, then by 2005 real oil prices would have been as much as 40 percent lower, and real metals prices 10 percent lower, than they actually were (Pain, Koske, and Sollie, 2006).",2007-03-02
"Accordingly, in the past several years, the effect of growth in developing economies on commodity prices has been a source of upward pressure on inflation in the United States and other industrial economies.",2007-03-02
"When the offsetting effects of globalization on the prices of manufactured imports and on energy and commodity prices are considered together, there seems to be little basis for concluding that globalization overall has significantly reduced inflation in the United States in recent years; indeed, the opposite may be true.",2007-03-02
"That said, the integration of rapidly industrializing economies into the global trading system clearly has had important effects on the prices of both manufactures and commodities, reinforcing the need to monitor international influences on the inflation process.",2007-03-02
Globalization also may affect the inflation process through other channels.,2007-03-02
"Some researchers, for example, have suggested greater openness to trade and the resulting increase in competition may have led to reduced markups of price over cost (Chen, Imbs, and Scott, 2004).",2007-03-02
"However, the rise in profit rates in recent years seems inconsistent with the view that markups have declined (Bowman, 2003; Kohn, 2006).9 The competition fostered by trade should also promote productivity growth, reducing growth in costs and making the attainment of low inflation easier.",2007-03-02
"That productivity growth is linked to the intensity of competition is plausible, and more-rapid productivity growth seems to help to explain the slowing of inflation in the United States in the mid-1990s.",2007-03-02
"However, the fact that most other industrial countries did not experience the same increase in productivity growth as the United States during that period, even as they became more open to trade, suggests that the relationship between productivity and trade may be complex.",2007-03-02
"In a globalized economy, the level of resource utilization in the world economy is another potential influence on domestic inflation.",2007-03-02
Standard analyses of inflation based on the concept of a Phillips curve assign a role in inflation determination to the domestic output gap--the difference between the economyâ€™s potential output and its actual production.,2007-03-02
"According to this theory, the existence of slack in the economy makes it more difficult for producers to raise prices and for workers to win higher wages, with the result that inflation slows.",2007-03-02
These conventional analyses have considered only the possible link between domestic inflation and the domestic output gap.,2007-03-02
"But in an increasingly integrated world economy, one may well ask whether a global output gap can be meaningfully defined and measured and, if it can, whether it affects domestic inflation.",2007-03-02
"In other words, all else being equal, would a booming world economy increase the potential for inflationary pressures within the United States?",2007-03-02
"In principle, with the domestic determinants of inflation held constant, reduced slack in the global economy could increase domestic inflation for a time if it led to higher prices for some traded goods and services relative to the prices of goods and services that are not usually traded.",2007-03-02
"For example, suppose that the United States produces personal computers both for export and for domestic use, and that more-rapid growth abroad increases the world demand for computers.",2007-03-02
Stronger global demand for computers raises the prices that U.S. producers can charge their foreign customers.,2007-03-02
"If producers of many goods face increases in worldwide demand, the net effect could be higher inflation in the United States, even though there may be no measurable effect on the prices of U.S. imports.",2007-03-02
"Early work, including some done at the Federal Reserve Bank of Boston, found no effect of global demand conditions on U.S. inflation, as did most of the subsequent research.10 Recently, however, several researchers affiliated with the Bank for International Settlements (BIS) have reported results favorable to the global output gap hypothesis (Borio and Filardo, 2006).",2007-03-02
"Using data for sixteen industrialized countries (plus the euro area) for 1985-2005, they found significant effects of the global output gap on domestic inflation rates--indeed, effects that were generally larger than those of domestic output gaps and that were rising over time.",2007-03-02
A clear resolution of the question of how global economic conditions affect domestic inflation may continue to elude us.,2007-03-02
"Overall, global factors do seem to influence domestic inflation.",2007-03-02
"Most directly, increasing trade with China and other developing countries has led to slower growth in the prices of imported manufactured goods.",2007-03-02
"However, this effect has been offset in the most recent period by the increases in the prices for energy and commodities associated with the rapid growth in these emerging market economies.",2007-03-02
"Other, more indirect channels may exist, including the possibilities that trade promotes productivity growth and thus lower costs and that global demand conditions influence domestic pricing decisions.",2007-03-02
"The second is the set of factors that have recently restrained inflation, despite persistent strong growth and a decline in the unemployment rate to the lowest level in a quarter century.",1998-01-08
"The strength of the cyclical upswing kept monetary policy alert, but -- given the quiescence of inflation -- mostly on hold, during the last year.",1998-01-08
"The continued robustness of the expansion into the fourth quarter, including further tightening of the labor market in October and November, might, in my judgment, have tilted the balance toward the case for additional monetary restraint, notwithstanding the continued excellent inflation readings.",1998-01-08
"It has reinforced prospects for some spontaneous slowing of the economy, introduced a downside risk that had not previously been an important consideration in policy deliberations, and added an additional restraining force on inflation immediately ahead.",1998-01-08
"The task of the Federal Reserve in the coming year will be importantly shaped by the magnitude of the downdraft from the Asian crisis, how it interacts with the remaining cyclical strength in domestic demand, and the degree to which its effects on import and commodity prices help keep inflation in check.",1998-01-08
"But before I return to the prospects for 1998 and the challenges for monetary policy, I will offer a retrospective on 1997.",1998-01-08
"Let me emphasize that the views I present this afternoon, both about the outlook and about monetary policy, are my own views and should not be interpreted as the views of the FOMC.",1998-01-08
The most dramatic feature of the 1997 macro experience was clearly the combination of faster-than-expected growth and lower-than-expected inflation.,1998-01-08
"Growth over 1997 probably exceeded 3 ½% from the fourth quarter of 1996 through the fourth quarter of 1997, while inflation, measured by the CPI, was only about 2% over the same period.",1998-01-08
"In February of 1997, for example, the Blue Chip consensus forecast projected just 2% growth in GDP over 1997 and a 3% increase in the CPI.",1998-01-08
"I would characterize the pace of output growth over 1997 as unsustainable, meaning that it was faster than the expansion of productive capacity and would ultimately be restrained going forward either by physical capacity constraints or by higher utilization rates, higher inflation, and policy tightening.",1998-01-08
"The unemployment rate declined by about ¾ percentage point this past year, consistent with the observation that growth was above trend.",1998-01-08
Most estimates would put the actual unemployment rate at the end of the year perhaps ¾ percentage point below the NAIRU.,1998-01-08
"But we clearly have not faced the usual consequence of over-taxing capacity constraints-- namely, an acceleration in prices.",1998-01-08
"While wage gains did increase, albeit very modestly, over the year, inflation remained extraordinarily well contained.",1998-01-08
"The analogy is to an economy where growth is neither too fast nor too slow, allowing a comfortable and peaceful expansion without inflationary overtones.",1998-01-08
"In economic terms, Goldilocks should be a story about a ""soft landing,"" a situation where growth slows to trend just as the economy reaches full employment and inflation stabilizes at a satisfactory level.",1998-01-08
"But growth over 1997 did not slow to trend, and, as a result, the unemployment rate declined to a level where overheating would normally be evident.",1998-01-08
Yet we did not get the increase in inflation.,1998-01-08
"The overall forecast errors for output growth and inflation, in such a model, can be described in terms of some combination of errors made by the model's equations and incorrect assumptions about variables imposed judgmentally on the forecast.",1998-01-08
"Or, the assumed path for oil and food prices might have turned out to be incorrect.",1998-01-08
"It is a story of a coincidence of favorable surprises, one set yielding stronger-than-expected growth and another set restraining inflation.",1998-01-08
"And, indeed, it may lean the forecast for 1998 toward slower growth and higher inflation, if one cannot identify another sequence of similarly fortunate shocks going forward.",1998-01-08
"Nearly every major component of aggregate demand came in stronger than fundamentals (i.e., the model equations) would have justified.",1998-01-08
Unexpected demand shocks are typically amplified by what is commonly referred to as the muliplier-accelerator process.,1998-01-08
"That is, an unexpected demand shock results in higher output and income, which, in turn, further boosts consumption and investment, reinforcing the effect of the errors on income and output.",1998-01-08
This is also part of the story of faster-than-expected output growth in 1997.,1998-01-08
"But unexpected strength in aggregate demand is usually damped by more restrictive financial conditions, by some combination of monetary tightening and movements in longer-term interest rates.",1998-01-08
"Real long-term interest rates, measured using surveys of inflation expectations, were steady to declining over the year, likely reflecting a smaller-than-anticipated budget deficit and an unwinding of expectations of tighter monetary policy.",1998-01-08
"Nominal rates matter, too, especially for housing, and longer-term nominal rates fell, due to the lower-than-expected inflation.",1998-01-08
"Equity prices unexpectedly soared, reinforcing the strength of both consumption and investment.",1998-01-08
"So, instead of financial conditions dampening the demand shocks, as would normally be the case, more supportive financial conditions actually reinforced them.",1998-01-08
"Financial conditions remained supportive partly because the better-than-expected inflation outcome kept the Fed from raising the federal funds rate, except for the single ¼ percentage point move in March.",1998-01-08
"The decline in inflation, in turn, reflected reinforcing effects of a sharp decline in energy prices, a significant slowing in the increase in food prices, and a further decline in core inflation.",1998-01-08
Overall CPI inflation was widely expected to slow because of a projected reversal of the sharp rise in oil prices over 1996.,1998-01-08
"About one percentage point of the slowing of overall CPI inflation over 1997 was, in fact, due to the relative movements of food and energy prices over 1996 and 1997.",1998-01-08
This was a somewhat sharper effect than was anticipated at the beginning of the year and accounts for a small part of the forecast error on inflation.,1998-01-08
But the greater surprise was the decline in core inflation.,1998-01-08
A major source of this error was the unexpected further appreciation of the dollar and thus the renewed decline in import prices.,1998-01-08
Continuing sharp declines in computer prices and the failure of medical benefit costs to rebound also contributed to the surprisingly favorable inflation outcome.,1998-01-08
There was upward pressure on wage change from the low and declining unemployment rate and from the increases in the minimum wage.,1998-01-08
But this was moderated by the effect on wage change of lower price inflation.,1998-01-08
"There was also a sharp acceleration in productivity over 1997, which held down unit labor costs.",1998-01-08
"In my view, most of this acceleration in productivity was cyclical, meaning it was in response to the faster pace of output growth.",1998-01-08
"Cyclical increases in productivity mainly, in my view, result in higher profits, rather than lower prices.",1998-01-08
"But, there likely was some small moderating influence on inflation from such a cyclical increase in productivity.",1998-01-08
"Putting the story together, the stronger-than-expected growth is explained by unexpected strength in aggregate demand, reinforced by more supportive financial conditions.",1998-01-08
"The excellent inflation outcome, in turn, is explained principally by a coincidence of favorable supply shocks.",1998-01-08
"A second story that could also explain the 1997 pattern of faster-than-expected growth and lower-than-expected inflation is a structural change or a series of structural changes that ushered in a new era of faster economic growth, perhaps lower average unemployment rates, and lower inflation.",1998-01-08
"I will focus specifically on the possibility of an increase in trend productivity growth, allowing faster output growth and, at least temporarily, slower inflation at the same time.",1998-01-08
"In this story, part or all of the faster economic growth over 1997 is matched by faster growth in productive capacity, so it does not have inflationary consequences.",1998-01-08
"In addition, if the increase in the productivity trend is unexpected, it will generally result in lower inflation for a while, as wage gains, based on the previous trend of productivity, are more than outpaced by the faster increase in productivity, lowering unit labor costs and hence inflation.",1998-01-08
"This allows, in principle, faster real growth, lower unemployment rates, and lower inflation.",1998-01-08
"An increase in the productivity trend, by raising the profitability of investment, also is consistent with an investment boom, strong corporate profits, and soaring equity prices.",1998-01-08
"From my perspective, however, I do not see clear evidence of a break in the productivity trend in the data.",1998-01-08
"As I noted earlier, I view the acceleration in productivity over 1997 as a normal cyclical phenomenon.",1998-01-08
There was some surprise about how low productivity growth was during 1994 through 1996.,1998-01-08
But now the level of productivity has returned to where it would be expected to be in light of the cyclical rebound in output.,1998-01-08
Lessons and Questions What are some of the lessons and lingering questions arising from the growth and inflation outcomes last year?,1998-01-08
"Second, the excellent price performance in 1997, in the context of the surprise of a higher dollar and the resulting sharper-than-expected decline in import prices, suggests to me that we might be underestimating the effect of import prices on overall inflation.",1998-01-08
"Many models, in particular, ignore the role of falling import prices in undermining the pricing power of producers of import-competing goods.",1998-01-08
"Third, the pattern of wage change and inflation did not definitively reject the estimates of NAIRU and trend growth that underpinned my forecast; but neither did the outcome entirely reinforce my confidence in them.",1998-01-08
"The poor forecast of inflation was not principally due, in my judgment, to errors in the wage and price equations.",1998-01-08
"Nevertheless, I would have made smaller forecast errors if I had used an estimate of NAIRU a bit below my current estimate of 5 ½% and would have made a smaller error forecasting inflation if I had used a slightly higher estimate of trend growth.",1998-01-08
"Fourth, I wonder whether the divergent pattern in unemployment and capacity utilization rates contributed to the lower-than-expected inflation last year.",1998-01-08
"Traditionally, these two measures of excess demand move together over the cycle.",1998-01-08
"The capacity utilization rate for manufacturing barely budged over 1997, remaining slightly below the point at which it has traditionally been accompanied by an increase in inflation.",1998-01-08
"If the historical relationship between unemployment and capacity utilization had been operative in this expansion, the capacity utilization rate would be more than two percentage points higher today.",1998-01-08
The failure of capacity utilization rates to move into a range that typically is associated with upward pressure on inflation likely has much to do with the perception of an absence of pricing power by firms.,1998-01-08
"It also may have encouraged firms to alter the way they operate in labor markets, encouraging them to avoid increases in wages that they were going to have difficulty passing along in higher prices.",1998-01-08
The net result is that there may be less inflation pressure than would normally be associated with the current rate of unemployment.,1998-01-08
"Prospects for 1998 Economic growth is likely to slow over 1998 and inflation may rise somewhat, but remain modest.",1998-01-08
"However, a slowing in growth appears to be a higher probability than an increase in inflation.",1998-01-08
"The economy ended 1997 with still very positive fundamentals, notwithstanding some apparent weakness in demand in the fourth quarter.",1998-01-08
"Momentum in income growth, a high level of wealth, a record level of consumer confidence, lower mortgage rates, and ready availability of jobs support the household sector.",1998-01-08
Inflation is low.,1998-01-08
It is from this base that growth is expected to slow over 1998 as a result of the combined effect of some spontaneous slowdown and the spillover from the Asian crisis.,1998-01-08
"The slowdown should move growth closer to a sustainable rate, rather than threaten recession.",1998-01-08
A key for monetary policy will be whether growth slows to or below trend or remains above trend.,1998-01-08
"This, in turn, will be an important consideration in the inflation outcome next year and risks of higher inflation thereafter, and will, for me, be an important consideration in the decision about monetary policy.",1998-01-08
"A Slowdown in Growth An important rationale for a spontaneous slowing -- that is, one occurring without further Fed tightening -- is that the pattern of consistent upside surprises across aggregate demand components over 1997 is unlikely to be repeated.",1998-01-08
"In this case, the explanation for the faster-than-expected growth over 1997 provides a rationale for a slowdown over 1998.",1998-01-08
GDP growth appears likely to have exceeded 3% again in the fourth quarter.,1998-01-08
"The production side data -- employment, hours worked, and industrial production -- certainly seem to point to solid growth, but the available data on demand components have been on the weak side.",1998-01-08
The spillover effects from the Asian turmoil should further slow growth over 1998.,1998-01-08
The degree of slowing in growth and the size of the depreciation in the exchange rates in the region still will be affected by policy actions to be taken by those authorities and the uncertain timing of any improvement in investor confidence.,1998-01-08
"As a result, developments in Asia clearly add a considerable degree of uncertainty to the outlook, though around a forecast of slower growth and lower inflation than would otherwise have been the case.",1998-01-08
"At this point, I expect, the direct effect of the shock from Asian developments on U.S. net exports would slow the growth in our GDP by roughly ½ percentage point.",1998-01-08
"Crosscurrents on Inflation Looking ahead, powerful crosscurrents should still be operating on inflation.",1998-01-08
"Second, the decline in inflation over the last year should be an important moderating force on wage change going forward, partially offsetting the first factor.",1998-01-08
"Third, the set of forces that have restrained inflation over the last year, the factors I have referred to as favorable supply shocks, will continue to restrain inflation.",1998-01-08
The unemployment rate is well below most estimates of NAIRU.,1998-01-08
"The resulting upward pressure on wage change and price inflation can be offset or even overwhelmed at times, as it was last year, by other influences.",1998-01-08
"Nevertheless, the role of this consideration in inflation dynamics should not be overlooked or underestimated.",1998-01-08
It starts me with a bias toward higher inflation.,1998-01-08
The question is then whether there will be enough offsetting influences in 1998 to prevent inflation from rising.,1998-01-08
One such offset is the virtuous cycle set in motion by the lower inflation in 1997.,1998-01-08
The lower inflation last year should moderate the cyclical pressure for higher nominal wages over 1998.,1998-01-08
"That is, the real wage increases produced by the lower inflation substitute for nominal wage gains that would otherwise have been required to achieve the higher path of real wages.",1998-01-08
"The pattern in food, energy, computer, and import prices and in benefit costs will again be important factors shaping the inflation outlook this year.",1998-01-08
The movements in these prices are not closely tied to the balance of supply and demand in overall labor and product markets and are often subject to wide swings and rapid reversals.,1998-01-08
"Forecasts of these prices are, as a result, often wide of the mark.",1998-01-08
"It appears that energy, import, and, of course, computer prices will decline again over 1998 and food prices increases will again be modest.",1998-01-08
"While there is likely to be at least a modest rebound in benefit costs, we should add to the list of factors restraining measured inflation the one to two tenths decline in CPI inflation associated with technical revisions to be introduced by the BLS this month.",1998-01-08
The restraint likely from favorable supply shocks this year has recently been reinforced by a further decline in crude petroleum prices and the projected effect of the Asian crisis on import prices.,1998-01-08
"On balance, it now appears that these forces will continue to restrain inflation over 1998 perhaps by about as much as was the case over 1997.",1998-01-08
"In this case, favorable supply shocks would be neutral factor on inflation this year, neither contributing to higher or lower inflation.",1998-01-08
"On balance, I expect a small increase in inflation in 1998.",1998-01-08
"The upward pressure on inflation will also depend on what happens to utilization rates over the year, which in turn will depend on precisely how much growth slows.",1998-01-08
One final influence is the sharp cyclical slowing in productivity I expect.,1998-01-08
This will raise unit labor costs and mainly undermine profit growth.,1998-01-08
But it could put some upward pressure on prices as well.,1998-01-08
"Two Scenarios and the Challenges Facing Monetary Policy There are many possible outcomes, particularly given the uncertainty about the degree of spontaneous slowing and the dimensions of the spillover from the Asian crisis.",1998-01-08
"Because upside and downside risks for growth and inflation appear to be more balanced than had been the case earlier, I believe monetary policy also needs to be in a more balanced position.",1998-01-08
"The course of monetary policy will, of course, depend on how much growth slows, what happens to utilization rates, and how the movement in utilization rates interacts with the other crosscurrents affecting inflation.",1998-01-08
"Continued above-trend growth and a further rise utilization rates, on the other hand, could encourage further tightening.",1998-01-08
"But I want to focus on two intermediate outcomes, both because I view these as more likely and because they would raise more interesting questions for monetary policy.",1998-01-08
"As I noted earlier, in a soft landing, growth slows from an above-trend to trend rate just as output converges from below to its full employment level.",1998-01-08
But I believe output is already beyond the full employment level.,1998-01-08
A soft landing in this case requires growth to run below trend for a period to allow productive capacity to catch up to demand and to allow utilization rates to ease to sustainable levels.,1998-01-08
"Ordinarily, inflation would be rising during the transition, given initial conditions of output in excess of sustainable capacity.",1998-01-08
"But, in the current episode, the virtuous cycle in play and renewal of forces that have recently been restraining inflation will continue to damp inflation over 1998, at least moderating the rise in inflation that would otherwise occur.",1998-01-08
"In this scenario, real growth slows to around 2% or slightly lower, the unemployment rate edges upward, but remains below NAIRU over 1998, and inflation is slightly higher.",1998-01-08
"This is a path back toward full employment, leaving inflation higher but still modest once full employment is reached, perhaps by the end of 1999.",1998-01-08
How should monetary policy respond in this scenario?,1998-01-08
Should policy ease in response to the sharp slowing in growth and rise in the unemployment rate?,1998-01-08
"Or should policy remain on hold, allowing the economy to converge slowly back to full employment and a still modest inflation rate?",1998-01-08
"Given the momentum in domestic demand, the still favorable financial conditions and other fundamentals, questions about the degree of spontaneous slowing, and uncertainty about the magnitude of the spillover from the Asian crisis, an equally plausible forecast is that growth slows, but only to trend.",1998-01-08
"In this case, the unemployment rate would remain near its current level and inflation would increase slightly more than in the first scenario, though it would still be damped in 1998 by the virtuous cycle forces and the continued favorable supply shocks.",1998-01-08
"This scenario would, however, imply greater inflation risks going forward, in light of prospects that the favorable supply shocks eventually will abate, while the prevailing high labor utilization rate will continue to push wage gains higher.",1998-01-08
How should monetary policy respond in this case?,1998-01-08
"Should policy remain on hold, given the return to a sustainable rate of growth and stable utilization rates?",1998-01-08
"Or, should there be a tightening of policy in light of the prospects for a gradual but persistent updrift in inflation associated with the still very high utilization rates?",1998-01-08
"The latter scenario is valuable in highlighting that the risks of higher inflation are related to the level of utilization rates, not to the rate of growth of output itself.",1998-01-08
"The point is that even if growth slows to trend, utilization rates could be left at unsustainable levels, leaving a risk of rising inflation over time.",1998-01-08
"We also face the common challenge of excessive inflation, which is no coincidence, since Germany and other countries are dealing with many of the same forces driving up inflation in the United States.",2022-05-30
"We see that in the deepening and possible broadening of our security commitments, and we also see it in the strong commitment that central banks in Europe and elsewhere have made to fight inflation.",2022-05-30
"First, I will provide my outlook for the U.S. economy and how the Federal Reserve plans to reduce inflation and achieve our 2 percent target.",2022-05-30
Then I will pivot to a more academic discussion of the labor market and the possibility of a soft landing in which taming inflation does not harm employment.,2022-05-30
"Despite a pause early this year in the growth of real gross domestic product (GDP), the U.S. economy continues to power along at a healthy pace.",2022-05-30
"Consumer spending and business investment, which are the bedrock of GDP, were both strong, and more recent data point toward solid demand and continuing momentum in the economy that will sustain output growth in the months ahead.",2022-05-30
"Unemployment is near a 50-year low, and both the low numbers of people filing for unemployment benefits and the high number of job openings indicate that the slowdown in the economy from the fast pace of last year isn't yet weighing on the job market.",2022-05-30
"As I will explain, this very tight labor market has implications for inflation and the Fed's plans for reducing inflation.",2022-05-30
"But on its own terms, we need to recognize that robust job creation is an underlying strength of the U.S. economy, which is expanding its productive capacity and supporting personal income and ongoing economic growth, in the face of other challenges.",2022-05-30
"Let me turn now to the outlook for the Fed's top priority, inflation.",2022-05-30
"I said in December that inflation was alarmingly high, and it has remained so.",2022-05-30
The April consumer price index (CPI) was up 8.3 percent year over year.,2022-05-30
This headline number was a slight decline from 8.5 percent in March but primarily due to a drop in volatile gasoline prices that we know surged again this month.,2022-05-30
"Twelve-month ""core"" inflation, which strips out volatile food and energy prices, was also down slightly to 6.2 percent in April, from 6.5 percent the month before, but the 0.6 percent monthly increase from March was an acceleration from the February to March rate and still too high.",2022-05-30
"Meanwhile, the Fed's preferred measure based on personal consumption expenditures (PCE) recorded headline inflation of 6.3 percent and core of 4.9 percent.",2022-05-30
"No matter which measure is considered, however, headline inflation has come in above 4 percent for about a year and core inflation is not coming down enough to meet the Fed's target anytime soon.",2022-05-30
"Inflation this high affects everyone but is especially painful for lower- and middle-income households that spend a large share of their income on shelter, groceries, gasoline, and other necessities.",2022-05-30
"It is the FOMC's job to meet our price stability mandate and get inflation down, and we are determined to do so.",2022-05-30
The forces driving inflation today are the same ones that emerged a year ago.,2022-05-30
The combination of strong consumer demand and supply constraintsâ€”both bottlenecks and a shortage of workers relative to labor demandâ€”is generating very high inflation.,2022-05-30
"We can argue about whether supply or demand is a greater factor, but the details have no bearing on the fact that we are not meeting the FOMC's price stability mandate.",2022-05-30
What I care about is getting inflation down so that we avoid a lasting escalation in the public's expectations of future inflation.,2022-05-30
"Once inflation expectations become unanchored in this way, it is very difficult and economically painful to lower them.",2022-05-30
"While it is not surprising that inflation expectations for the next year are up, since current inflation is high, what I focus on is longer-term inflation expectations.",2022-05-30
"Overall, my assessment is that longer-range inflation expectations have moved up from a level that was consistent with trend inflation below 2 percent to a level that's consistent with underlying inflation a little above 2 percent.",2022-05-30
"I will be watching that these expectations do not continue to rise because longer-term inflation expectations influence near term inflation, as well as our ability to achieve our 2 percent target.",2022-05-30
"When they are anchored, they influence spending decisions today in a way that helps inflation move toward our target.",2022-05-30
"To ensure these longer-term expectations do not move up broadly, the Federal Reserve has tools to reduce demand, which should ease inflation pressures.",2022-05-30
"And, over time, supply constraints will resolve to help rein in price increases as well, although we don't know how soon.",2022-05-30
I cannot emphasize enough that my FOMC colleagues and I are united in our commitment to do what it takes to bring inflation down and achieve the Fed's 2 percent target.,2022-05-30
"In particular, I am not taking 50 basis-point hikes off the table until I see inflation coming down closer to our 2 percent target.",2022-05-30
"And, by the end of this year, I support having the policy rate at a level above neutral so that it is reducing demand for products and labor, bringing it more in line with supply and thus helping rein in inflation.",2022-05-30
"In the next couple of weeks, for example, the May employment and CPI reports will be released.",2022-05-30
Those are two key pieces of data I will be watching to get information about the continuing strength of the labor market and about the momentum in price increases.,2022-05-30
"Over a longer period, we will learn more about how monetary policy is affecting demand and how supply constraints are evolving.",2022-05-30
"If the data suggest that inflation is stubbornly high, I am prepared to do more.",2022-05-30
"This expectation represents a significant degree of policy tightening, consistent with the FOMC's commitment to get inflation back under control and, if we need to do more, we will.",2022-05-30
Higher rates make it more expensive to finance spending and investment which should help reduce demand and contribute to lower inflation.,2022-05-30
"In addition to raising rates, the FOMC further tightened monetary policy by ending asset purchases in March and then agreeing to start reducing our holdings of securities, a process that begins June 1.",2022-05-30
All these actions have the goal of bringing inflation down toward the FOMC's 2 percent target.,2022-05-30
Increased rates and a smaller balance sheet raise the cost of borrowing and thus reduce household and business demand.,2022-05-30
"On top of this, I also hope that over time supply problems resolve and help lower inflation.",2022-05-30
"The United States is not alone in facing excessive inflation, and other central banks also are responding.",2022-05-30
"In the euro area, headline inflation continued to edge up in April, to 7.5 percent, while its version of core inflation increased from 2.9 percent to 3.5 percent.",2022-05-30
"Based on this broadening of price pressures, communication by the European Central Bank (ECB) is widely interpreted as signaling that it will likely start raising its policy rate this summer and that it could raise rates a few times before year-end.",2022-05-30
"Policy tightening started last year, as emerging markets including Mexico and Brazil increased rates substantially amid expectations of accelerating inflation.",2022-05-30
"Several advanced-economy central banks, including the Bank of England, began raising interest rates in the second half of last year.",2022-05-30
"This worldwide increase in policy rates, unfortunately, reflects the fact that ­high inflation is a global problem, which central banks around the world recognize must be addressed.",2022-05-30
Some have expressed concern that the Fed cannot raise interest rates to arrest inflation while also avoiding a sharp slowdown in economic growth and significant damage to the labor market.,2022-05-30
"One argument in this regard warns that policy tightening will reduce the current high level of job vacancies and push up unemployment substantially, based on the historical relationship between these two pieces of data, which is depicted by something called the Beveridge curve.",2022-05-30
The relationship between vacancies and the unemployment rate is shown in slide 4.,2022-05-30
The blue dots in the figure show observations of the vacancy rate and the unemployment rate between 2000 and 2018.,2022-05-30
The black curve is the fitted relationship between the log of vacancies and the log of unemployment over this period.,2022-05-30
"From this, the argument goes, policy to slow demand and push down vacancies requires moving along this curve and increasing the unemployment rate substantially.",2022-05-30
"But there's another perspective about what a reduction in vacancies implies for unemployment that is just as plausible, if not more so.",2022-05-30
"These two dots suggest that the vacancy rate can be reduced substantially, from the current level to the January 2019 level, while still leaving the level of vacancies consistent with a strong labor market and with a low level of unemployment, such as we had in 2019.",2022-05-30
"To see why this is a plausible outcome, I first need to digress a bit to discuss the important determinants of unemployment.",2022-05-30
"Many factors influence the unemployment rate, and vacancies are just one.",2022-05-30
"Thus, to understand how a lower vacancy rate would influence unemployment going forward, we need to separate the direct effect of vacancies on the unemployment rate from other factors.",2022-05-30
"To do that, we first need to review the factors that account for unemployment movements.",2022-05-30
"There are two broad determinants of unemployment: separations from employment (including layoffs and quits), which raise unemployment, and job finding by the unemployed, which lowers unemployment.2 Separations consist largely of layoffs, which are typically cyclical, surging in recessions and falling during booms.",2022-05-30
"To see how separations and job finding affect the unemployment rate, it's helpful to start with equation (1) on slide 6, which states that in a steady state (that is, when the unemployment rate is constant), flows into unemployment, the left side of equation (1), must equal flows out of unemployment, the right side.",2022-05-30
"Flows into unemployment equal the separations rate, $$s$$, times the level of employment.",2022-05-30
"For simplicity, I've normalized the labor force to 1, so that employment equals 1 minus unemployment, $$U$$.",2022-05-30
"Flows out of unemployment, the right side of the equation, equal the rate of job finding, $$f$$, times the number of unemployed.",2022-05-30
"Rearranging this equation yields an expression for the steady-state unemployment rate, equation (2).3 Because flows into and out of unemployment are quite high, the actual unemployment rate converges to the steady-state unemployment rate quickly, and the steady-state unemployment rate typically tracks the actual rate closely.4 So, going forward, I'm going to think of the steady-state unemployment rate as a good approximation of the actual unemployment rate.",2022-05-30
"If we divide both sides of equation (3) by unemployment, we get equation (4), which expresses the job-finding rate as a function of the ratio of vacancies to unemployment, or labor market tightness.",2022-05-30
"On the one hand, if the workers searching for jobs are well suited for the jobs that are available, matching efficiency will be high; on the other hand, if many searching workers are not well suited for the available jobs, matching efficiency will be low.6 The last step is to plug our expression for job finding into equation (2), the steady-state unemployment rate, yielding equation (5).",2022-05-30
Equation (5) shows how vacancies affect the unemployment rate.,2022-05-30
"That is, I pick a separation rate at some level and trace out what happens to the unemployment rate as the vacancy rate changes.",2022-05-30
Then I pick a different separation rate and again trace out the effect of vacancies on unemployment.,2022-05-30
"The result is shown on slide 8, which plots four curves showing the effect of vacancies on unemployment for four different separation rates.",2022-05-30
"Because more vacancies generate fewer and fewer hires, they result in smaller and smaller reductions in unemployment.",2022-05-30
"But large numbers of vacancies are, of course, a hallmark of tight labor markets and additional vacancies continue to strongly boost wage growth and quits.",2022-05-30
"You can see that when the separations rate is this high, the unemployment rate is also going to be high, no matter the level of vacancies.",2022-05-30
"At the same time, greater labor demand increases vacancies, causing the labor market to move up the steep curves.",2022-05-30
"As you recall, the black curve fits the actual observations on unemployment and vacancies we saw before the pandemic.",2022-05-30
And we now can see that these observations are produced by a combination of changes in vacancies and separations (as well as other influences on unemployment).,2022-05-30
"Decreases in the separations rate reduce the unemployment rate without changing vacancies, imparting a flatness to the fitted curve relative to the steeper curves that only reflect the effect of vacancies.",2022-05-30
"What does all this suggest about what will happen to the labor market when, as I expect, a tightening of financial conditions and fading fiscal stimulus start to cool labor demand?",2022-05-30
"Slide 10 focuses on the Beveridge curve (the relationship produced by the direct effect of changes in vacancies on unemployment) when the separations rate is low, as it is now.7 The March 2022 observation lies at the top of the curve and is labeled point A.",2022-05-30
"If there is cooling in aggregate demand spurred by monetary policy tightening that tempers labor demand, then vacancies should fall substantially.",2022-05-30
